id_solicitud,edad,pais_origen,pais_destino,tipo_visa,nivel_educativo,estado_civil,oferta_empleo,ingresos_anuales_usd,dominio_idioma,num_dependientes,antecedentes_penales,documentacion_completa,tiempo_tramite_dias,estado_solicitud
1,58,Colombia,Estados Unidos,Reunificacion_Familiar,Secundaria,Casado,No,5413.6,Nativo,0,No,Si,62,Aprobado
2,19,Ecuador,Argentina,Turismo,Tecnico,Viudo,No,6475.44,Basico,1,No,Si,94,Rechazado
3,24,Colombia,Brasil,Trabajo,Tecnico,Divorciado,No,6457.03,Avanzado,4,No,No,55,Rechazado
4,57,Nicaragua,Argentina,Trabajo,Primaria,Casado,No,7881.77,Nativo,0,No,Si,201,Aprobado
5,60,Peru,España,Turismo,Universitario,Casado,Si,22767.33,Nativo,5,No,Si,181,Aprobado
6,32,Venezuela,Canada,Asilo,Secundaria,Casado,No,4537.44,Avanzado,1,No,Si,344,Aprobado
7,33,Ecuador,Mexico,Turismo,Tecnico,Viudo,Si,59839.55,Basico,3,No,Si,71,Aprobado
8,61,Honduras,España,Asilo,Tecnico,Viudo,No,7768.63,Nativo,0,No,Si,289,Aprobado
9,39,Colombia,Mexico,Asilo,Secundaria,Soltero,No,7006.82,Intermedio,4,No,Si,69,Aprobado
10,58,Ecuador,Argentina,Estudio,Tecnico,Casado,No,6229.01,Intermedio,0,No,Si,72,Rechazado
11,37,Cuba,Estados Unidos,Estudio,Universitario,Soltero,Si,29159.43,Basico,4,No,Si,258,Aprobado
12,51,Bolivia,Brasil,Estudio,Posgrado,Casado,No,3191.94,Avanzado,2,No,Si,76,Aprobado
13,19,Bolivia,Argentina,Turismo,Secundaria,Soltero,No,470.99,Basico,0,No,Si,136,Rechazado
14,52,Haiti,Panama,Estudio,Universitario,Viudo,Si,5815.85,Intermedio,3,No,No,42,Rechazado
15,24,Venezuela,Brasil,Reunificacion_Familiar,Universitario,Soltero,Si,11412.53,Intermedio,3,No,Si,53,Aprobado
16,53,Colombia,Estados Unidos,Turismo,Universitario,Soltero,No,6789.57,Basico,3,No,No,45,Aprobado
17,42,Peru,Panama,Reunificacion_Familiar,Tecnico,Viudo,Si,17802.47,Nativo,4,No,Si,175,Aprobado
18,50,Ecuador,Chile,Trabajo,Posgrado,Soltero,No,548.17,Basico,1,No,No,306,Rechazado
19,57,Colombia,Brasil,Turismo,Tecnico,Divorciado,No,1634.07,Avanzado,1,No,Si,345,Aprobado
20,22,Venezuela,Panama,Turismo,Posgrado,Soltero,Si,12789.26,Intermedio,2,No,No,204,Aprobado
21,52,Peru,Estados Unidos,Turismo,Secundaria,Soltero,No,1074.33,Basico,0,No,Si,159,Rechazado
22,31,Peru,Panama,Reunificacion_Familiar,Posgrado,Soltero,Si,25414.55,Intermedio,0,No,Si,149,Aprobado
23,63,Honduras,Estados Unidos,Trabajo,Secundaria,Casado,No,6676.76,Avanzado,1,No,Si,201,Aprobado
24,20,Nicaragua,Argentina,Estudio,Universitario,Divorciado,No,7073.08,Intermedio,4,No,No,136,Rechazado
25,29,Honduras,Estados Unidos,Estudio,Universitario,Divorciado,No,3293.71,Avanzado,5,No,Si,374,Rechazado
26,48,Cuba,Argentina,Asilo,Secundaria,Casado,Si,39601.99,Intermedio,2,No,No,157,Rechazado
27,61,Ecuador,Canada,Trabajo,Secundaria,Divorciado,Si,57752.06,Intermedio,0,No,Si,175,Aprobado
