pasajeros_proyectados,vuelos_simultaneos,inspectores_disponibles,porcentaje_escaneo,alerta_congestion
2000,4,16,22.3,0
974,13,13,67.7,0
1641,2,32,36.3,0
1333,7,18,64.4,0
3018,11,15,88.7,1
535,2,30,58.6,0
2131,14,9,15.6,1
952,8,23,77.7,0
1002,12,10,86.4,0
3450,15,32,57.9,0
3483,3,15,13.3,1
2000,5,27,42.2,0
2186,8,29,55.0,0
2801,2,23,18.8,0
3180,9,30,74.3,0
3056,14,17,19.1,1
2817,10,7,52.4,1
3439,13,34,86.7,0
686,13,15,40.7,0
1715,8,16,54.1,0
2034,7,32,52.0,0
3160,16,13,72.1,1
690,3,34,20.5,0
2714,13,21,66.3,0
900,14,9,75.5,0
2455,15,28,24.6,0
952,6,33,81.6,0
793,13,21,89.1,0
2556,7,5,14.9,0
616,16,29,54.2,0
1133,14,33,57.5,0
1491,4,13,35.8,0
2384,11,11,80.5,1
2381,4,34,16.9,0
1002,17,25,10.4,0
2273,10,34,86.9,0
1794,6,33,67.1,0
2233,4,13,86.5,1
1279,7,13,77.3,0
3069,4,22,89.4,0
1757,7,5,10.0,1
3244,12,12,27.6,1
2827,16,8,18.2,1
1996,14,23,80.8,0
3348,17,34,70.5,0
2419,11,12,47.2,1
2985,6,5,85.8,1
1304,5,6,47.9,0
892,17,8,73.2,0
3431,14,34,15.2,0
1353,3,18,62.6,0
3037,6,19,53.5,1
1869,2,26,48.8,0
2800,12,30,55.6,1
2481,9,30,64.7,0
2182,4,27,80.6,0
2601,11,19,79.2,1
1863,8,27,78.9,0
2085,3,23,48.8,0
2885,6,25,81.6,0
1037,15,20,11.4,0
2406,8,26,44.7,0
1560,11,23,85.5,0
1582,3,30,74.4,0
969,15,8,77.2,0
660,10,5,10.1,0
891,8,8,83.2,0
1791,10,5,31.7,1
3401,6,22,67.2,0
2753,11,31,47.7,0
2268,6,23,47.5,0
2207,4,9,18.8,1
1492,14,24,71.8,0
1471,9,13,57.2,0
2549,15,11,13.9,1
3273,4,17,66.4,1
1141,16,27,10.3,0
2861,6,5,69.9,1
1654,10,29,55.7,0
2794,14,19,30.7,1
1354,13,6,78.2,1
2498,17,10,84.6,1
2541,14,26,76.5,1
992,3,16,55.9,0
2979,17,34,53.5,0
3342,16,20,87.0,1
1202,11,18,27.4,0
2285,17,23,62.4,0
2135,9,17,12.4,0
1915,2,29,19.3,0
1377,13,14,80.3,0
2660,7,14,51.8,0
1629,8,19,65.9,0
1508,4,5,77.2,1
2932,8,12,57.1,1
2097,14,34,43.7,0
3299,8,22,28.4,1
2089,14,16,33.8,1
1619,9,30,59.3,0
2419,10,10,54.8,1
