pasajeros_proyectados,vuelos_simultaneos,inspectores_disponibles,porcentaje_escaneo,alerta_congestion
2258,13,18,45.4,1
1890,11,28,88.0,0
2646,13,31,37.6,0
1100,13,24,36.9,0
1420,2,28,82.9,0
2316,7,30,70.8,0
2794,3,26,53.4,0
3353,9,9,79.4,1
1683,7,10,89.3,1
1516,5,27,42.4,0
2827,9,9,69.5,1
2635,17,32,70.3,0
2299,16,26,23.3,0
3059,3,33,22.9,0
2735,17,30,60.6,0
1577,17,25,26.8,0
701,14,22,65.3,0
1521,4,11,51.0,0
1148,14,16,47.0,0
3477,14,9,77.7,1
2574,10,10,71.7,1
2029,13,12,54.9,1
2027,2,33,36.1,0
697,16,32,42.1,0
1528,16,26,87.4,0
1797,14,7,82.8,1
521,17,18,37.1,0
1266,5,34,82.3,0
1559,11,24,89.9,0
2182,12,31,59.0,0
2294,10,6,86.6,1
1496,12,33,42.3,0
1647,14,28,13.8,0
745,11,15,17.3,0
2390,10,8,73.7,1
837,10,14,18.5,0
3201,16,12,36.1,1
3461,9,23,86.9,0
1662,2,17,15.5,0
1908,8,16,45.3,0
1626,6,24,80.6,0
3104,8,21,19.2,1
2095,16,13,15.8,1
706,6,34,65.2,0
1615,3,5,47.2,0
1163,9,18,40.7,0
2949,6,15,61.6,1
661,12,17,82.0,0
1863,13,29,51.8,0
504,6,14,52.7,0
2215,12,23,55.7,0
1459,3,28,78.2,0
1297,11,19,47.9,0
2430,10,16,77.0,1
1516,10,12,10.4,0
3247,2,29,74.5,0
3411,7,12,51.2,1
1939,14,15,73.8,0
2777,4,31,23.9,0
2705,3,8,39.7,1
2954,4,24,22.4,0
817,6,19,89.2,0
879,5,34,49.5,0
1652,15,8,86.7,0
1460,10,9,46.8,0
900,11,7,58.1,0
2193,16,6,59.3,1
1472,10,8,62.9,0
2482,12,30,67.8,0
1581,10,31,72.7,0
2568,11,5,80.1,1
2824,2,18,25.7,0
1455,3,30,30.3,0
2778,8,8,14.1,1
1360,7,31,33.5,0
3231,14,28,38.1,0
2588,15,21,48.7,0
1269,14,25,74.1,0
1569,16,17,30.2,0
2699,13,5,53.5,1
2935,14,33,60.0,0
1653,11,24,82.8,0
1125,4,34,79.4,0
1595,3,33,52.8,0
680,12,15,76.1,0
1275,11,30,55.3,0
3160,8,29,16.1,0
3337,7,21,62.3,1
2561,15,19,39.0,0
903,12,21,63.0,0
3370,13,30,75.7,1
3388,12,12,61.4,1
3297,14,6,24.4,1
1475,2,26,87.0,0
897,12,11,30.7,0
2070,13,10,57.9,1
627,17,27,78.6,0
653,14,26,49.5,0
869,3,11,19.9,0
1551,3,23,14.4,0
2641,16,17,23.9,1
2800,10,14,79.4,1
2486,2,26,57.8,0
3113,10,7,69.3,1
501,13,9,68.6,0
1284,11,32,26.3,0
1827,16,18,87.0,0
1040,11,6,57.1,0
2353,5,8,17.1,1
564,17,17,71.7,0
2778,2,12,20.8,1
3044,10,8,78.3,1
2198,10,19,67.7,0
2459,14,32,59.8,0
952,14,28,64.1,0
3021,7,34,50.4,0
3267,6,32,67.6,0
3195,6,7,17.2,1
630,9,33,81.8,0
1727,17,31,60.3,0
3277,3,19,43.7,1
1062,17,14,71.7,0
1978,9,6,72.4,1
2399,13,20,17.0,0
1069,6,16,35.7,0
1059,11,22,47.6,0
1718,5,33,10.7,0
1378,9,11,21.2,0
1086,9,18,79.5,0
3375,14,14,47.0,1
1684,13,6,50.4,1
988,14,9,81.8,0
3057,9,23,84.4,1
2991,16,19,37.7,1
2669,16,23,49.8,1
3296,14,28,63.6,0
3024,17,16,75.5,1
3011,15,13,12.9,1
2323,7,9,41.6,1
2185,6,26,52.1,0
955,14,19,49.8,0
2891,5,10,88.3,1
1767,4,33,60.7,0
1806,14,10,55.8,0
2222,16,8,35.0,1
1869,9,12,51.5,1
2955,4,9,87.4,1
753,6,11,29.1,0
2204,6,33,82.7,0
2134,4,8,12.8,1
1454,14,34,44.6,0
2257,17,12,61.7,1
1127,17,6,51.7,0
1247,5,17,81.0,0
3475,16,10,12.5,1
2163,14,34,69.8,0
3190,15,25,10.2,0
1684,6,12,82.8,1
3426,15,17,16.0,1
1335,3,28,57.1,0
622,15,27,80.7,0
1985,13,5,16.2,1
2455,2,7,60.4,1
2811,8,25,85.3,0
768,3,6,86.1,0
1046,9,12,57.6,0
2148,7,25,29.6,0
546,7,24,26.1,0
1062,6,15,35.9,0
3476,17,18,47.1,1
801,7,30,52.2,0
2474,7,23,59.0,0
3311,13,7,74.1,1
830,4,9,36.7,0
2989,16,15,48.4,1
2257,9,34,58.5,0
598,13,10,65.9,0
1680,2,29,77.0,0
1315,6,23,75.2,0
1800,7,31,25.5,0
2481,10,6,61.6,1
2527,17,14,24.7,0
1996,11,10,18.5,1
3274,4,25,88.0,0
1198,5,28,36.9,0
897,4,10,35.2,0
1135,3,22,81.7,0
1199,2,9,77.2,0
3338,15,24,72.7,1
2343,13,13,89.7,1
1181,10,12,11.5,0
2164,2,5,45.1,1
1074,2,26,86.2,0
1063,6,13,67.9,0
3414,17,29,65.5,1
1024,14,12,24.8,0
2691,2,18,76.5,0
2079,14,32,20.6,0
1480,4,12,87.1,1
1512,4,28,23.1,0
3349,11,26,48.3,1
2700,5,7,25.1,1
2767,4,14,47.4,0
2585,3,9,73.1,1
1012,5,15,62.0,0
1183,4,30,24.8,0
1520,5,27,61.0,0
2302,6,23,41.3,0
2852,15,27,18.2,0
1106,12,31,33.9,0
3459,16,28,68.8,0
1456,13,19,28.3,0
1581,6,21,68.0,0
1576,11,5,13.6,1
2868,17,23,28.0,1
1080,3,13,11.7,0
2565,8,19,87.2,0
1782,12,24,51.6,0
725,3,17,66.7,0
3431,8,7,88.2,1
3363,17,19,51.3,1
1140,7,9,46.6,0
1380,2,12,65.7,0
1203,9,21,13.5,0
2296,2,12,86.3,1
2020,2,17,13.0,0
1982,11,22,16.0,0
603,13,23,36.7,0
1743,17,21,43.5,0
654,6,5,47.7,0
2353,13,11,57.8,1
741,3,28,12.7,0
2287,5,17,84.5,0
3499,5,22,17.3,1
3020,12,31,31.8,0
1139,13,31,20.3,0
2205,2,16,46.3,0
3234,12,34,42.5,0
2029,5,21,10.1,0
1846,16,30,68.0,0
1715,2,9,40.7,1
3314,5,10,18.2,1
700,17,23,53.2,0
1945,9,12,22.8,1
2268,3,23,69.0,0
1900,15,9,42.4,0
2022,8,22,77.0,0
3306,6,8,52.4,1
2888,9,33,51.1,0
1108,4,25,19.6,0
1337,2,19,48.6,0
3140,14,19,45.0,1
3125,6,10,68.5,1
2196,17,27,68.7,0
3379,2,21,68.9,1
1315,16,8,16.7,0
3419,2,14,31.8,1
1538,6,15,51.7,0
1376,12,30,38.6,0
1495,5,10,75.8,1
1273,3,25,76.0,0
1943,13,12,22.6,1
689,4,28,21.3,0
1146,9,8,19.8,0
3233,7,12,26.0,1
1123,16,22,30.2,0
550,13,8,70.6,0
2161,12,6,32.2,1
1743,2,19,75.7,0
1867,8,29,38.3,0
1995,2,34,10.8,0
3175,11,26,53.1,1
2831,9,8,14.6,1
2306,14,19,85.6,0
2737,7,17,52.4,1
987,2,25,69.5,0
646,6,33,30.8,0
1719,15,29,16.6,0
1291,4,21,31.3,0
3065,2,6,10.1,1
1629,15,31,57.6,0
959,14,5,11.5,1
918,4,26,58.8,0
2950,10,5,27.3,1
1648,7,27,82.6,0
1738,11,25,18.2,0
3068,9,24,43.8,0
2363,10,14,23.0,1
1363,5,28,61.1,0
3193,12,28,73.6,0
2178,6,10,13.5,0
2506,2,10,68.5,1
1184,2,13,29.8,0
1545,4,26,41.4,0
2015,17,5,77.2,1
3072,8,32,54.5,0
1812,5,33,41.6,0
2691,10,14,68.8,1
1209,11,5,44.1,1
2639,2,18,27.6,0
1636,7,15,14.2,0
1909,6,12,22.7,0
1158,8,33,61.8,0
3117,15,26,21.7,0
534,11,18,88.8,0
1576,17,29,31.1,0
3419,17,9,78.8,1
2179,15,32,16.5,0
1995,13,13,71.7,1
3113,2,15,35.0,1
2547,13,19,58.3,0
2893,3,29,32.5,0
2538,2,30,48.5,0
1457,8,27,43.3,0
1712,5,11,44.7,0
878,15,19,41.7,0
3290,12,27,70.7,1
2843,11,9,49.8,1
2423,8,23,82.3,0
516,7,33,15.3,0
619,16,15,84.8,0
1396,13,21,79.7,0
1683,15,15,47.9,0
1050,5,21,57.0,0
2028,2,30,77.9,0
1370,11,27,74.6,0
1639,2,15,28.4,0
3277,8,13,41.3,1
2004,12,24,89.2,0
2863,16,19,76.0,0
3098,16,7,12.8,1
2431,11,25,13.3,0
2698,6,30,13.6,0
2395,6,17,69.7,0
837,3,24,10.4,0
1159,16,16,76.1,0
3058,4,29,89.1,0
702,13,10,88.6,1
1315,6,19,45.7,0
1063,8,7,56.5,0
2195,15,21,20.0,0
1650,8,10,48.5,0
966,11,23,71.2,0
1938,5,34,78.2,0
2469,13,18,48.1,1
1592,12,11,26.3,1
2319,11,19,19.6,0
762,4,29,36.3,0
2136,14,10,41.9,1
959,17,21,57.6,0
1263,4,26,30.1,0
3203,7,10,63.6,1
2193,7,14,70.3,0
1295,12,10,69.6,0
2682,5,16,31.6,0
2341,15,9,33.5,1
1979,3,24,80.1,0
2310,5,16,60.0,0
2138,5,30,48.5,0
519,9,26,54.7,0
2570,4,12,73.4,1
2765,12,23,71.4,0
3229,4,26,25.4,0
3032,10,9,65.5,1
2755,8,5,82.5,1
1934,6,21,43.4,0
2251,2,30,59.9,0
3324,4,18,37.6,0
2259,7,17,67.2,1
3444,16,12,52.6,1
2764,2,11,68.6,1
3235,17,27,32.7,1
2234,11,15,49.3,1
3445,4,32,39.0,0
1630,5,22,52.2,0
2562,8,21,42.4,1
2163,11,15,39.2,0
856,10,20,57.8,0
3112,3,30,71.9,0
1854,11,19,62.0,0
1666,11,27,22.0,0
2143,16,34,46.4,0
1970,6,24,22.9,0
2395,10,31,43.0,0
3404,9,31,54.5,0
3408,6,24,36.6,0
2103,5,24,54.5,0
2697,13,29,67.9,0
3369,13,19,75.6,1
2646,12,31,22.7,0
1775,10,29,15.4,0
1156,4,21,33.9,0
1330,3,31,85.8,0
1658,6,5,40.1,1
1240,9,28,62.9,0
595,6,7,88.4,0
2836,10,6,85.9,1
1984,10,34,70.7,0
2933,17,13,42.6,1
899,13,18,62.1,0
