frecuencia_viajes_ano,tiempo_estadia_dias,monto_declarado_usd,tiempo_tramite_min
8,56.2,964.02,11.0
20,3.7,2701.9,5.2
22,2.0,3376.64,4.2
5,72.1,545.88,23.7
12,4.6,4142.01,4.2
1,10.2,2254.55,3.9
25,5.5,3924.03,2.3
27,2.8,4841.13,3.2
35,2.6,4687.87,6.4
26,1.0,3765.58,6.4
33,1.0,3132.15,7.0
3,13.3,2061.58,4.5
1,5.3,1105.52,3.6
1,11.2,2376.25,7.9
1,11.1,781.16,5.7
29,4.1,3644.21,4.7
3,43.9,899.47,11.0
21,1.0,3405.47,5.1
14,3.3,2456.94,4.3
4,10.9,2571.99,5.4
4,63.9,652.94,21.9
33,3.1,3273.89,4.0
1,14.2,1821.79,7.0
3,11.6,1781.63,7.2
1,14.6,1795.79,4.8
3,51.6,1436.63,21.4
22,3.5,3308.91,3.6
2,14.1,2157.47,6.4
3,7.2,2027.32,8.8
4,14.8,2515.92,7.1
24,3.3,2855.74,3.4
21,1.0,4106.46,3.4
26,3.4,4099.69,5.5
2,9.2,2590.58,5.4
4,10.4,2316.38,4.9
4,24.0,516.01,25.5
18,1.4,3223.15,2.8
2,7.3,1554.05,3.8
1,11.2,1466.59,6.1
2,24.0,500.0,18.6
4,10.0,1579.02,6.9
2,12.5,1711.99,6.2
2,15.6,1876.71,9.0
2,19.2,1837.87,6.2
14,5.9,1861.82,4.4
19,3.7,4987.76,6.0
29,5.2,3501.67,4.5
23,1.1,4886.19,3.5
12,2.6,3189.26,2.0
1,18.1,2145.24,8.6
2,56.3,817.91,17.9
2,14.8,1953.61,4.3
1,11.0,1609.68,7.0
21,2.8,3232.96,3.1
19,2.9,2817.01,4.7
3,15.8,1155.09,9.5
1,13.0,1907.78,9.8
3,13.1,2525.74,4.1
23,1.0,2280.19,3.5
29,2.5,3447.43,3.9
14,3.7,4114.72,2.8
3,8.4,1665.01,6.0
1,45.4,500.0,28.3
2,11.8,623.23,7.1
1,11.4,879.29,5.4
3,65.7,500.0,20.0
2,5.5,1595.21,6.4
3,13.1,2026.17,8.9
1,9.4,1552.0,4.1
2,41.6,782.86,18.2
3,13.7,2084.59,7.6
3,12.6,1458.96,3.5
1,10.7,1343.1,5.3
23,5.3,5003.0,4.5
6,46.7,1286.04,13.7
3,14.4,2276.16,5.3
3,14.1,1827.86,5.1
25,2.1,2528.51,3.3
2,12.3,2083.61,6.3
2,16.0,2525.84,8.3
1,6.1,2031.89,6.4
24,2.3,4312.82,4.8
3,5.0,1504.48,7.1
21,2.9,3933.21,4.9
3,12.1,1848.59,4.4
2,12.4,1610.67,7.4
3,14.5,941.48,3.9
4,11.3,2601.75,7.6
2,16.3,2508.71,8.1
1,7.0,2343.25,4.3
8,58.9,743.81,17.3
3,8.0,2036.67,10.0
2,15.3,1555.92,8.2
8,56.4,829.69,19.2
1,9.9,2151.34,4.9
3,15.4,1860.71,6.3
2,12.1,653.09,6.9
1,9.4,2385.93,6.5
9,41.6,1175.42,24.8
23,4.9,2281.92,4.5
