frecuencia_viajes_ano,tiempo_estadia_dias,monto_declarado_usd,tiempo_tramite_min
2,13.8,2600.62,7.8
24,3.1,3154.45,4.0
3,10.0,2477.42,5.0
2,12.6,1548.15,8.7
18,4.7,3866.14,2.8
19,2.3,4183.18,2.7
1,53.8,1378.15,13.7
3,9.5,869.33,6.7
3,10.5,1762.11,5.6
20,1.6,3173.67,3.9
2,13.4,1948.88,8.2
1,13.6,1441.97,6.4
3,14.7,1275.59,8.8
3,7.4,1506.37,8.8
1,14.9,1532.8,4.1
32,2.3,2299.39,5.8
2,16.0,2483.99,4.8
19,2.5,3338.03,2.1
1,15.7,1756.45,6.2
25,1.9,3546.81,4.5
34,2.7,3468.29,3.7
25,3.5,3310.09,4.7
21,3.1,3413.2,5.4
1,11.1,1787.86,6.9
2,15.5,1660.25,5.5
19,3.7,4558.61,2.5
2,16.9,1365.7,8.3
2,14.6,1854.33,7.9
3,14.9,1720.66,4.1
6,88.5,736.31,13.5
31,2.0,3754.21,3.0
4,36.5,1731.45,23.6
22,4.2,3640.94,5.6
1,15.2,1677.47,8.9
1,14.6,1207.29,5.9
3,17.1,2478.43,4.0
18,1.7,4564.71,5.3
6,50.6,958.74,14.3
20,2.5,4463.94,4.8
25,1.4,3666.08,2.6
3,17.0,1277.04,8.5
18,2.1,2542.67,2.2
3,13.6,2288.45,7.0
24,1.4,4429.55,2.7
2,9.3,847.74,6.3
1,17.9,1884.83,4.2
23,2.3,3939.66,3.5
6,81.4,500.0,12.4
23,2.1,3232.6,5.8
16,3.0,4256.31,2.5
3,16.8,1408.95,5.4
2,15.9,2070.5,8.7
1,11.1,2583.65,7.3
17,3.0,1969.83,5.9
23,4.8,4163.01,3.7
13,3.2,3851.46,4.5
2,8.0,2144.52,6.4
1,12.3,2027.28,4.4
2,7.4,1481.07,7.1
5,76.9,855.69,27.8
28,2.2,4338.42,5.5
2,8.7,1872.47,4.8
1,12.8,2403.8,4.0
27,4.6,4207.99,5.7
25,2.5,1870.34,3.0
1,7.6,1971.55,9.0
26,4.6,3128.38,4.0
3,13.1,740.32,4.2
23,4.3,3556.78,3.6
5,67.8,558.67,22.4
12,4.9,4590.75,3.9
3,17.5,1571.52,4.0
3,10.2,997.3,6.4
2,6.9,2200.93,8.1
4,81.5,1021.23,29.8
2,8.7,1740.84,6.6
3,10.1,1848.27,6.4
2,7.3,2131.87,7.7
20,3.1,3484.45,5.1
5,38.1,1250.45,22.6
18,2.0,3801.84,4.4
3,9.6,1790.06,7.7
2,8.5,823.76,8.0
29,3.5,4997.6,4.1
3,88.0,792.03,25.3
16,4.8,2968.62,5.0
15,2.5,2476.06,2.5
26,1.3,3941.39,2.5
6,81.4,500.0,16.3
1,68.7,500.0,15.9
32,2.5,4974.73,5.4
12,1.7,4423.48,3.5
1,13.7,1346.98,4.8
15,1.7,3823.98,2.9
2,15.9,1819.44,6.5
34,4.9,2954.13,4.1
3,86.4,1030.19,16.2
13,4.8,3602.84,4.4
1,11.7,1324.83,6.5
30,2.2,2337.72,2.5
14,1.9,2785.5,5.2
1,45.0,526.8,23.2
22,4.4,2069.2,5.5
30,3.8,4259.31,2.7
5,65.2,724.44,20.9
3,9.2,2059.32,6.2
33,1.5,3232.15,5.9
2,16.3,2004.71,4.9
30,1.2,4829.04,5.1
23,3.4,4734.45,3.6
1,15.6,1522.39,4.1
31,4.6,4290.56,4.7
25,4.9,3461.44,2.4
12,3.7,4742.29,3.4
2,58.5,867.88,16.9
1,8.2,2218.85,6.7
7,68.4,568.41,26.4
1,9.1,1987.29,8.3
1,85.7,1315.9,22.8
7,34.6,500.0,15.8
23,3.9,3153.36,2.8
14,3.6,4198.03,4.5
26,1.0,2964.64,4.6
20,4.0,2438.53,4.7
2,6.9,1470.55,7.6
