inspectores_turno,presupuesto_usd,tiempo_espera_min,tramites_procesados
31,5651.22,29.8,1681
32,5529.89,57.8,1714
5,1056.64,34.1,232
12,2691.41,23.6,761
20,3751.1,42.3,1084
22,4458.58,54.8,1271
15,2867.87,48.8,724
32,5644.18,42.2,1803
13,2755.21,23.5,736
34,6056.48,39.9,1920
30,5338.59,28.1,1678
24,4645.86,50.0,1344
25,4348.08,37.7,1441
8,1959.42,13.9,557
28,5229.54,15.1,1664
29,5232.24,44.7,1629
15,2892.6,28.0,905
5,1290.1,44.2,278
33,5999.62,11.6,1970
24,4554.29,49.2,1319
30,5401.95,17.3,1687
21,3969.24,32.5,1208
32,5835.31,18.7,1942
20,3733.64,31.7,1127
11,2544.53,33.7,543
21,4179.81,30.3,1085
20,3870.02,40.3,1246
32,5579.56,32.9,1668
34,6168.68,41.9,1898
12,2652.29,20.2,712
14,2978.25,42.6,763
15,2887.8,17.7,956
32,5540.86,41.4,1781
9,2278.37,57.8,477
33,5978.52,26.8,1938
22,4121.62,18.0,1312
28,5111.9,34.0,1644
25,4499.65,18.1,1519
23,4182.61,54.7,1331
29,5511.34,57.5,1478
34,6185.51,27.9,1879
8,1959.19,44.5,473
27,4637.9,54.2,1387
19,3737.33,51.9,950
26,4640.97,50.8,1419
16,2966.32,27.2,901
11,2259.96,55.5,611
27,4818.63,21.0,1529
20,3995.28,42.5,1165
6,1501.29,44.9,340
24,4358.24,52.3,1456
11,2132.81,47.2,557
29,5308.77,32.1,1633
12,2650.18,12.0,726
21,3957.93,51.3,1110
9,2153.39,14.5,654
14,2966.03,13.5,791
28,4998.81,19.1,1512
33,6119.42,54.9,1783
33,6113.24,27.6,1973
13,2714.64,22.6,819
34,6004.62,22.9,1910
30,5792.5,25.6,1633
19,3662.35,21.9,1226
12,2372.82,30.6,718
31,5529.31,15.3,1847
33,6049.45,49.6,1773
34,5989.09,34.7,1889
29,5210.8,53.2,1608
33,5919.08,43.5,1797
32,5806.9,18.0,1828
27,4768.11,24.7,1537
21,3965.35,19.0,1222
16,3204.05,59.5,849
7,1741.78,46.6,454
6,1781.92,57.2,318
11,2303.8,28.8,745
30,5559.1,37.0,1709
7,1478.21,28.0,512
32,5569.91,35.6,1854
13,2295.35,39.0,721
18,3772.69,33.0,1045
30,5542.73,30.0,1725
7,1538.63,16.2,400
8,2004.77,48.0,425
10,2451.75,50.4,584
27,4823.2,55.2,1459
5,1309.6,39.7,261
32,5794.49,21.5,1836
6,1679.95,47.7,411
10,2358.16,54.1,558
7,1634.84,39.0,391
27,5176.39,58.7,1409
7,1655.38,26.0,394
31,5522.89,30.2,1756
20,3896.57,39.9,1086
12,2506.49,58.4,568
32,5655.5,41.2,1781
5,1371.36,30.8,212
25,4689.35,38.3,1287
