inspectores_turno,presupuesto_usd,tiempo_espera_min,tramites_procesados
9,1874.72,44.9,419
25,4721.11,30.9,1363
7,1836.52,34.2,452
23,4018.08,32.1,1252
11,2474.64,37.2,657
23,4570.03,48.5,1335
28,4986.4,10.1,1608
32,6027.87,54.7,1808
12,2540.78,33.6,664
11,2387.93,30.2,687
12,2467.27,46.9,613
34,5836.19,12.2,1962
5,1147.27,14.6,313
34,5929.11,42.3,1854
7,1876.0,28.6,503
26,4642.95,48.5,1457
13,2370.62,56.5,680
34,6074.14,37.2,1917
19,3680.4,15.8,1168
32,5601.86,23.3,1839
32,5929.52,46.8,1750
7,1521.16,39.4,299
31,5644.95,58.2,1679
11,2353.21,34.0,700
11,2291.93,13.1,723
30,5436.05,58.1,1540
31,5485.69,40.8,1674
15,3028.99,59.8,712
13,2442.75,28.2,808
13,2719.89,45.7,690
16,3073.26,51.1,874
25,4597.86,25.6,1553
27,4866.52,30.3,1568
21,3918.96,16.4,1137
23,4171.35,53.8,1171
11,2422.08,13.4,648
11,2411.09,57.9,621
16,3409.57,20.9,962
12,2583.9,33.6,735
24,4797.25,26.3,1434
22,4186.94,16.8,1293
31,5449.06,11.7,1887
12,2193.85,10.5,736
26,4704.84,36.1,1462
16,3023.18,33.3,826
16,3277.91,38.0,964
28,5145.7,30.1,1603
16,3332.44,22.6,1006
21,4116.8,47.8,1130
17,3412.43,42.7,946
12,2594.25,11.7,891
22,3903.9,19.6,1224
34,6074.35,41.7,1868
8,1581.27,59.3,307
18,3525.47,40.1,1052
34,6108.81,59.2,1838
19,3424.61,51.3,1010
10,2115.51,26.5,591
18,3377.96,43.0,1037
11,2535.87,55.8,656
29,5209.97,60.0,1578
24,4709.27,55.5,1312
26,4622.71,37.1,1576
25,4534.91,44.6,1318
19,3652.4,58.0,991
5,1435.74,39.6,297
10,2183.92,31.1,565
25,4496.92,27.3,1405
25,4463.42,59.6,1259
27,4978.81,12.2,1588
21,4084.76,34.9,1211
6,1649.86,14.6,374
6,1653.51,43.5,309
25,4872.05,31.1,1483
20,3830.29,16.0,1264
18,3348.74,22.9,1028
28,4729.06,10.9,1587
18,3239.91,59.5,955
7,1958.52,10.0,498
7,1946.62,47.5,452
29,5179.06,12.1,1653
33,5778.33,41.5,1873
5,1223.33,34.2,346
21,3966.25,52.0,1138
10,2069.37,24.2,648
21,3678.63,30.9,1221
7,1660.24,47.9,394
30,5570.44,34.2,1701
26,4632.72,53.0,1404
26,4628.67,55.5,1427
5,1264.92,57.4,285
28,5294.87,20.5,1636
13,2879.57,57.4,786
9,2334.64,24.2,526
32,5701.32,39.4,1821
34,6391.3,15.3,1989
5,1470.75,19.3,335
14,3081.62,49.5,888
32,5592.96,11.9,1773
20,3920.86,55.4,1069
24,4732.46,13.5,1453
21,3953.99,13.8,1320
12,2314.26,26.7,630
7,1948.87,45.8,460
28,4996.57,24.9,1705
27,4936.48,36.3,1461
27,5043.5,15.5,1565
19,3656.54,17.7,1055
7,1903.33,52.9,445
16,3258.01,17.5,1017
5,1641.77,19.5,415
28,5140.69,49.8,1525
5,1398.32,52.0,190
21,3763.85,50.9,1181
19,3604.7,10.3,1198
6,1674.43,26.3,417
33,5822.17,56.8,1855
34,6160.4,12.4,2115
21,4034.59,42.6,1138
5,1360.51,55.3,247
12,2591.94,14.1,819
28,4896.09,31.6,1593
